Sample_Name,Phenotype,Submission_Notes,DNA_Plate_Name,Well,Elution_Vol_(ul),DNA_Conc_after_ext_ng_ul,PCR cycles,PCR_Sample_Vol_ul,Primer_ID ,ul_to_Pool
NC25_9,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,A1,100,0.23,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_29,5
NC25_11,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,B1,100,0.35,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_30,5
NC25_12,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,C1,100,0.13,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_31,10
NC25_14,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,D1,100,0.19,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_32,5
NC25_15,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,E1,100,0.16,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_33,5
NC25_17,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,F1,100,0.27,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_34,5
NC25_18,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,G1,100,0.21,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_35,5
NC25_19,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,H1,100,0.26,35,5,Kinnex16S_Fwd_01--Kinnex16S_Rev_36,5
NC25_22,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,A2,100,0.31,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_29,10
NC25_66,Vegetation-Plant Leaves ,Diluted with water to get lower glycerol concentration ,Jones20250430_DNA1,B2,100,0.33,35,5,Kinnex16S_Fwd_02--Kinnex16S_Rev_30,5
